Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00      452     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<std::pair<int, int>, std::pair<int, int> > >::_M_addr() const
  0.00      0.00     0.00      452     0.00     0.00  std::pair<std::pair<int, int>, std::pair<int, int> > const& std::forward<std::pair<std::pair<int, int>, std::pair<int, int> > const&>(std::remove_reference<std::pair<std::pair<int, int>, std::pair<int, int> > const&>::type&)
  0.00      0.00     0.00      451     0.00     0.00  std::_Identity<std::pair<std::pair<int, int>, std::pair<int, int> > >::operator()(std::pair<std::pair<int, int>, std::pair<int, int> > const&) const
  0.00      0.00     0.00      447     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*)
  0.00      0.00     0.00      434     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<std::pair<int, int> const, std::pair<std::pair<std::pair<int, int>, std::pair<int, int> >, std::pair<std::pair<int, int>, std::pair<int, int> > > > >::_M_ptr() const
  0.00      0.00     0.00      420     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<std::pair<int, int>, std::pair<int, int> > >::_M_ptr() const
  0.00      0.00     0.00      420     0.00     0.00  std::_Rb_tree_node<std::pair<std::pair<int, int>, std::pair<int, int> > >::_M_valptr() const
  0.00      0.00     0.00      407     0.00     0.00  std::vector<int, std::allocator<int> >::begin() const
  0.00      0.00     0.00      401     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  0.00      0.00     0.00      397     0.00     0.00  std::allocator_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned long)
